 HEAD
﻿Notes,Occurrence County,Occurrence County Code,MMWR Week,MMWR Week Code,Deaths,Population,Crude Rate
,"Fairfield County, CT",9001,"2020 Week 06 ending February 08, 2020",2020/06,139,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 07 ending February 15, 2020",2020/07,136,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 08 ending February 22, 2020",2020/08,142,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 09 ending February 29, 2020",2020/09,121,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 10 ending March 07, 2020",2020/10,131,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 11 ending March 14, 2020",2020/11,109,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 12 ending March 21, 2020",2020/12,160,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 13 ending March 28, 2020",2020/13,180,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 14 ending April 04, 2020",2020/14,230,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 15 ending April 11, 2020",2020/15,365,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 16 ending April 18, 2020",2020/16,392,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 17 ending April 25, 2020",2020/17,345,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 18 ending May 02, 2020",2020/18,283,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 19 ending May 09, 2020",2020/19,250,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 20 ending May 16, 2020",2020/20,206,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 21 ending May 23, 2020",2020/21,179,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 22 ending May 30, 2020",2020/22,169,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 23 ending June 06, 2020",2020/23,145,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 24 ending June 13, 2020",2020/24,128,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 25 ending June 20, 2020",2020/25,115,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 26 ending June 27, 2020",2020/26,123,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 27 ending July 04, 2020",2020/27,112,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 28 ending July 11, 2020",2020/28,125,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 29 ending July 18, 2020",2020/29,122,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 30 ending July 25, 2020",2020/30,126,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 31 ending August 01, 2020",2020/31,108,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 32 ending August 08, 2020",2020/32,145,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 33 ending August 15, 2020",2020/33,107,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 34 ending August 22, 2020",2020/34,117,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 35 ending August 29, 2020",2020/35,113,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 36 ending September 05, 2020",2020/36,114,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 37 ending September 12, 2020",2020/37,116,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 38 ending September 19, 2020",2020/38,118,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 39 ending September 26, 2020",2020/39,118,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 40 ending October 03, 2020",2020/40,120,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 41 ending October 10, 2020",2020/41,140,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 42 ending October 17, 2020",2020/42,111,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 43 ending October 24, 2020",2020/43,135,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 44 ending October 31, 2020",2020/44,119,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 45 ending November 07, 2020",2020/45,135,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 46 ending November 14, 2020",2020/46,126,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 47 ending November 21, 2020",2020/47,166,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 48 ending November 28, 2020",2020/48,155,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 49 ending December 05, 2020",2020/49,185,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 50 ending December 12, 2020",2020/50,157,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 51 ending December 19, 2020",2020/51,194,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 52 ending December 26, 2020",2020/52,199,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 53 ending January 02, 2021",2020/53,176,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 01 ending January 09, 2021 (provisional)",2021/01,200,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 02 ending January 16, 2021 (provisional)",2021/02,176,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 03 ending January 23, 2021 (provisional)",2021/03,187,Not Applicable,Not Applicable
