Notes,Residence County,Residence County Code,MMWR Week,MMWR Week Code,Deaths,Population,Crude Rate
,"Grays Harbor County, WA",53027,"2020 Week 11 ending March 14, 2020",2020/11,18,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2020 Week 12 ending March 21, 2020",2020/12,25,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2020 Week 13 ending March 28, 2020",2020/13,18,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2020 Week 14 ending April 04, 2020",2020/14,24,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2020 Week 15 ending April 11, 2020",2020/15,21,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2020 Week 16 ending April 18, 2020",2020/16,17,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2020 Week 17 ending April 25, 2020",2020/17,23,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2020 Week 18 ending May 02, 2020",2020/18,23,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2020 Week 19 ending May 09, 2020",2020/19,21,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2020 Week 20 ending May 16, 2020",2020/20,13,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2020 Week 21 ending May 23, 2020",2020/21,22,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2020 Week 22 ending May 30, 2020",2020/22,18,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2020 Week 23 ending June 06, 2020",2020/23,17,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2020 Week 24 ending June 13, 2020",2020/24,15,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2020 Week 25 ending June 20, 2020",2020/25,18,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2020 Week 26 ending June 27, 2020",2020/26,18,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2020 Week 27 ending July 04, 2020",2020/27,23,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2020 Week 28 ending July 11, 2020",2020/28,12,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2020 Week 29 ending July 18, 2020",2020/29,18,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2020 Week 30 ending July 25, 2020",2020/30,20,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2020 Week 31 ending August 01, 2020",2020/31,22,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2020 Week 33 ending August 15, 2020",2020/33,16,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2020 Week 34 ending August 22, 2020",2020/34,18,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2020 Week 35 ending August 29, 2020",2020/35,10,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2020 Week 36 ending September 05, 2020",2020/36,11,Not Applicable,Not Applicable
